transfer_policy,return_preset,tax_scenario,wealth_gini_difference_relative_to_flat,disposable_income_gini_difference_relative_to_flat,top_10_difference_relative_to_flat,top_1_difference_relative_to_flat,shorrocks_difference_relative_to_flat,top_20_persistence_difference_relative_to_flat,seed
universal_plus_safety_floor,high_return_heterogeneity,swedish_baseline_progressivity,-0.00878696643414334,-0.037624192727147454,-0.0035392202043051935,-0.00036226606197932443,-0.00024999999999997247,0.0035000000000000586,0
universal_plus_safety_floor,high_return_heterogeneity,swedish_high_progressivity,-0.013457497196708967,-0.06248847400295432,-0.005121304820628503,-0.0005358167505360723,0.001375000000000015,0.010000000000000009,0
lump_sum_only,low_return_heterogeneity,flat,0.0,0.0,0.0,0.0,0.0,0.0,0
lump_sum_only,low_return_heterogeneity,swedish_low_progressivity,-0.004689348565688034,-0.014140739942365865,-0.0017718296678804757,-3.7769230314899094e-05,-0.003249999999999975,0.010000000000000009,0
lump_sum_only,low_return_heterogeneity,swedish_baseline_progressivity,-0.012326834160627076,-0.03961742762473963,-0.003421545499854073,-8.568725647453701e-05,-0.012250000000000094,0.027000000000000024,0
lump_sum_only,low_return_heterogeneity,swedish_high_progressivity,-0.019486175138589523,-0.06677370725612453,-0.004468336218588054,-0.00012621810965446345,-0.024250000000000105,0.04800000000000004,0
no_transfers,low_return_heterogeneity,flat,0.0,0.0,0.0,0.0,0.0,0.0,0
no_transfers,low_return_heterogeneity,swedish_low_progressivity,-0.002973960906367923,-0.015377625591232569,8.62855125992601e-05,0.0006551080331583248,-0.00924999999999998,0.01100000000000001,0
no_transfers,low_return_heterogeneity,swedish_baseline_progressivity,-0.00806779103656674,-0.046423843800672326,0.0015770930900487201,0.0017110935000258648,-0.027249999999999996,0.034499999999999975,0
no_transfers,low_return_heterogeneity,swedish_high_progressivity,-0.013145742275286754,-0.08236111979569749,0.003521669285807605,0.0026692726238781994,-0.05449999999999999,0.05500000000000005,0
universal_plus_safety_floor,low_return_heterogeneity,flat,0.0,0.0,0.0,0.0,0.0,0.0,0
universal_plus_safety_floor,low_return_heterogeneity,swedish_low_progressivity,-0.004561466409976678,-0.013714105905046736,-0.0017164217258858194,-4.159692620897548e-05,-0.001875000000000071,0.008500000000000063,0
universal_plus_safety_floor,low_return_heterogeneity,swedish_baseline_progressivity,-0.011650358126829463,-0.037624192727147454,-0.0032763144581438586,-9.691734910009797e-05,-0.00825000000000009,0.028000000000000025,0
universal_plus_safety_floor,low_return_heterogeneity,swedish_high_progressivity,-0.018017258988475948,-0.06248847400295432,-0.004211856904335565,-0.00014094941949502338,-0.018875000000000086,0.04600000000000004,0
lump_sum_only,baseline_return_heterogeneity,flat,0.0,0.0,0.0,0.0,0.0,0.0,1
